date,brand,category,region
01-01-2022,Apple,Smartphone,West
01-01-2022,Samsung,Headphones,North
01-01-2022,Samsung,Smartphone,South
01-01-2022,Samsung,Smartphone,South
01-01-2022,Samsung,Laptop,South
02-01-2022,Apple,Tablet,West
02-01-2022,Apple,Smartphone,Central
02-01-2022,Apple,Smartphone,North
02-01-2022,Dell,Laptop,West
02-01-2022,Dell,Laptop,Central
02-01-2022,Apple,Laptop,West
02-01-2022,Samsung,Tablet,East
02-01-2022,Dell,Smartphone,South
02-01-2022,Apple,Smartphone,South
02-01-2022,Apple,Smartphone,East
02-01-2022,Apple,Smartphone,South
02-01-2022,Apple,Headphones,East
02-01-2022,Samsung,Smartphone,West
02-01-2022,Apple,Smartphone,Central
02-01-2022,Samsung,Laptop,West
02-01-2022,Dell,Tablet,South
02-01-2022,Apple,Smartphone,South
02-01-2022,Apple,Headphones,West
02-01-2022,Apple,Laptop,East
02-01-2022,Sony,Smartphone,South
02-01-2022,Apple,Laptop,South
02-01-2022,Samsung,Headphones,East
02-01-2022,Apple,Headphones,East
02-01-2022,Apple,Smartphone,North
02-01-2022,Samsung,Tablet,East
02-01-2022,Apple,Smartphone,Central
02-01-2022,Samsung,Headphones,West
02-01-2022,Apple,Tablet,West
02-01-2022,Samsung,Smartphone,East
02-01-2022,Apple,Smartphone,East
02-01-2022,Sony,Tablet,South
02-01-2022,Samsung,Smartphone,Central
02-01-2022,Sony,Smartphone,East
02-01-2022,Samsung,Smartphone,West
02-01-2022,Samsung,Tablet,East
02-01-2022,Apple,Smartphone,North
02-01-2022,Sony,Tablet,West
02-01-2022,Apple,Smartphone,West
02-01-2022,Sony,Smartphone,East
02-01-2022,Apple,Tablet,West
03-01-2022,Sony,Smartphone,East
03-01-2022,Samsung,Headphones,Central
03-01-2022,Dell,Laptop,West
03-01-2022,Samsung,Laptop,East
03-01-2022,Sony,Smartphone,South
03-01-2022,Apple,Smartphone,East
03-01-2022,Samsung,Smartphone,West
03-01-2022,Apple,Smartphone,North
03-01-2022,Apple,Laptop,South
03-01-2022,Samsung,Laptop,West
03-01-2022,Sony,Laptop,South
03-01-2022,Samsung,Smartphone,North
03-01-2022,Samsung,Smartphone,East
03-01-2022,Sony,Smartphone,East
03-01-2022,Samsung,Smartphone,West
03-01-2022,Dell,Smartphone,South
03-01-2022,Samsung,Smartphone,South
03-01-2022,Samsung,Tablet,North
03-01-2022,Dell,Tablet,North
03-01-2022,Samsung,Laptop,North
03-01-2022,Apple,Tablet,South
03-01-2022,Samsung,Smartphone,West
03-01-2022,Sony,Smartphone,North
03-01-2022,Samsung,Headphones,West
03-01-2022,Apple,Laptop,West
03-01-2022,Dell,Laptop,East
03-01-2022,Apple,Smartphone,North
03-01-2022,Dell,Smartphone,South
03-01-2022,Apple,Smartphone,Central
03-01-2022,Samsung,Smartphone,East
03-01-2022,Dell,Smartphone,North
03-01-2022,Sony,Smartphone,Central
03-01-2022,Samsung,Laptop,North
03-01-2022,Apple,Laptop,East
03-01-2022,Apple,Smartphone,East
03-01-2022,Apple,Smartphone,South
03-01-2022,Samsung,Smartphone,Central
03-01-2022,Sony,Smartphone,East
03-01-2022,Samsung,Smartphone,East
03-01-2022,Samsung,Smartphone,East
03-01-2022,Apple,Smartphone,South
03-01-2022,Samsung,Laptop,South
03-01-2022,Sony,Tablet,East
03-01-2022,Samsung,Laptop,Central
03-01-2022,Apple,Tablet,South
03-01-2022,Sony,Tablet,South
03-01-2022,Apple,Smartphone,East
03-01-2022,Dell,Tablet,East
03-01-2022,Apple,Headphones,North
03-01-2022,Samsung,Tablet,North
03-01-2022,Apple,Smartphone,Central
03-01-2022,Apple,Smartphone,West
03-01-2022,Samsung,Smartphone,Central
03-01-2022,Dell,Smartphone,North
03-01-2022,Apple,Laptop,East
03-01-2022,Apple,Smartphone,Central
